timestamp,Transform 1,Transform 2
2026-07-18 20:49:43.885605-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57153431e-01  5.15046999e-01 -3.81911035e-03 -9.15500000e+01]
 [-5.12987416e-01  8.53014181e-01 -9.59724909e-02  1.09100000e+01]
 [-4.61725881e-02  8.42223053e-02  9.95376660e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.896577-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57153431e-01  5.15046999e-01 -3.81911035e-03 -9.15500000e+01]
 [-5.12987416e-01  8.53014181e-01 -9.59724909e-02  1.09100000e+01]
 [-4.61725881e-02  8.42223053e-02  9.95376660e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.918567-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.929687-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.950789-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57165554e-01  5.15022491e-01 -4.36426784e-03 -9.15500000e+01]
 [-5.12987441e-01  8.52961332e-01 -9.64409218e-02  1.09100000e+01]
 [-4.59466921e-02  8.49046507e-02  9.95329142e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.962315-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.983671-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:43.996444-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.016776-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57041979e-01  5.15236129e-01 -3.28305262e-03 -9.15400000e+01]
 [-5.13152604e-01  8.52967722e-01 -9.55011515e-02  1.09000000e+01]
 [-4.64053057e-02  8.35332029e-02  9.95423905e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.028546-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.050480-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.061548-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.082879-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.095273-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.120242-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.131673-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57091044e-01  5.15146233e-01 -4.39318026e-03 -9.15500000e+01]
 [-5.13245009e-01  8.53130168e-01 -9.35332953e-02  1.09100000e+01]
 [-4.44353702e-02  8.24213276e-02  9.95606460e-01 -2.19177000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.152256-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]",
