frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
417,2026-07-27 11:14:12.751044-07:00,,,,
418,2026-07-27 11:14:12.782959-07:00,,,,
419,2026-07-27 11:14:12.816874-07:00,,,,
420,2026-07-27 11:14:12.847790-07:00,,,,
421,2026-07-27 11:14:12.883689-07:00,,,,
422,2026-07-27 11:14:12.916602-07:00,,,,
423,2026-07-27 11:14:12.950514-07:00,,,,
424,2026-07-27 11:14:12.984422-07:00,,,,
425,2026-07-27 11:14:13.020324-07:00,,,,
426,2026-07-27 11:14:13.051241-07:00,,,,
427,2026-07-27 11:14:13.085150-07:00,,,,
428,2026-07-27 11:14:13.119060-07:00,,,,
429,2026-07-27 11:14:13.160948-07:00,,,,
430,2026-07-27 11:14:13.188874-07:00,,,,
431,2026-07-27 11:14:13.217826-07:00,,,,
432,2026-07-27 11:14:13.248713-07:00,,,,
433,2026-07-27 11:14:13.283652-07:00,,,,
434,2026-07-27 11:14:13.318542-07:00,,,,
435,2026-07-27 11:14:13.350441-07:00,,,,
436,2026-07-27 11:14:13.384350-07:00,,,,
437,2026-07-27 11:14:13.417262-07:00,,,,
438,2026-07-27 11:14:13.451172-07:00,,,,
439,2026-07-27 11:14:13.485080-07:00,,,,
440,2026-07-27 11:14:13.517993-07:00,,,,
441,2026-07-27 11:14:13.550904-07:00,,,,
442,2026-07-27 11:14:13.584814-07:00,,,,
443,2026-07-27 11:14:13.618724-07:00,,,,
444,2026-07-27 11:14:13.648646-07:00,,,,
445,2026-07-27 11:14:13.684549-07:00,,,,
446,2026-07-27 11:14:13.718458-07:00,,,,
447,2026-07-27 11:14:13.750371-07:00,,,,
448,2026-07-27 11:14:13.784280-07:00,,,,
449,2026-07-27 11:14:13.818189-07:00,,,,
450,2026-07-27 11:14:13.852099-07:00,,,,
451,2026-07-27 11:14:13.884014-07:00,,,,
452,2026-07-27 11:14:13.917923-07:00,,,,
453,2026-07-27 11:14:13.951832-07:00,,,,
454,2026-07-27 11:14:13.984744-07:00,,,,
455,2026-07-27 11:14:14.017656-07:00,,,,
456,2026-07-27 11:14:14.048577-07:00,,,,
457,2026-07-27 11:14:14.085475-07:00,,,,
458,2026-07-27 11:14:14.119385-07:00,,,,
459,2026-07-27 11:14:14.151299-07:00,,,,
460,2026-07-27 11:14:14.192190-07:00,,,,
461,2026-07-27 11:14:14.222111-07:00,,,,
462,2026-07-27 11:14:14.253027-07:00,,,,
463,2026-07-27 11:14:14.286937-07:00,,,,
464,2026-07-27 11:14:14.318851-07:00,,,,
465,2026-07-27 11:14:14.352762-07:00,,,,
466,2026-07-27 11:14:14.385673-07:00,,,,
467,2026-07-27 11:14:14.418585-07:00,,,,
468,2026-07-27 11:14:14.448504-07:00,,,,
469,2026-07-27 11:14:14.483410-07:00,,,,
470,2026-07-27 11:14:14.518604-07:00,,,,
471,2026-07-27 11:14:14.553494-07:00,,,,
472,2026-07-27 11:14:14.586398-07:00,,,,
473,2026-07-27 11:14:14.619341-07:00,,,,
474,2026-07-27 11:14:14.652257-07:00,,,,
475,2026-07-27 11:14:14.687129-07:00,,,,
476,2026-07-27 11:14:14.720081-07:00,,,,
477,2026-07-27 11:14:14.752984-07:00,,,,
478,2026-07-27 11:14:14.786861-07:00,,,,
479,2026-07-27 11:14:14.820770-07:00,,,,
480,2026-07-27 11:14:14.850691-07:00,,,,
481,2026-07-27 11:14:14.885625-07:00,,,,
482,2026-07-27 11:14:14.920504-07:00,,,,
483,2026-07-27 11:14:14.954413-07:00,,,,
484,2026-07-27 11:14:14.987339-07:00,,,,
485,2026-07-27 11:14:15.020238-07:00,,,,
486,2026-07-27 11:14:15.054146-07:00,,,,
487,2026-07-27 11:14:15.088056-07:00,,,,
488,2026-07-27 11:14:15.120969-07:00,,,,
489,2026-07-27 11:14:15.153880-07:00,,,,
490,2026-07-27 11:14:15.186813-07:00,,,,
491,2026-07-27 11:14:15.221698-07:00,,,,
492,2026-07-27 11:14:15.255607-07:00,,,,
493,2026-07-27 11:14:15.287522-07:00,,,,
494,2026-07-27 11:14:15.321431-07:00,,,,
495,2026-07-27 11:14:15.354344-07:00,,,,
496,2026-07-27 11:14:15.385289-07:00,,,,
497,2026-07-27 11:14:15.419193-07:00,,,,
498,2026-07-27 11:14:15.454109-07:00,,,,
499,2026-07-27 11:14:15.487010-07:00,,,,
500,2026-07-27 11:14:15.519901-07:00,,,,
501,2026-07-27 11:14:15.554808-07:00,,,,
502,2026-07-27 11:14:15.586722-07:00,,,,
503,2026-07-27 11:14:15.621628-07:00,,,,
504,2026-07-27 11:14:15.651548-07:00,,,,
505,2026-07-27 11:14:15.691442-07:00,,,,
506,2026-07-27 11:14:15.721362-07:00,,,,
507,2026-07-27 11:14:15.754275-07:00,,,,
508,2026-07-27 11:14:15.786216-07:00,,,,
509,2026-07-27 11:14:15.823090-07:00,,,,
510,2026-07-27 11:14:15.854029-07:00,,,,
511,2026-07-27 11:14:15.886919-07:00,,,,
512,2026-07-27 11:14:15.920854-07:00,,,,
513,2026-07-27 11:14:15.953741-07:00,,,,
514,2026-07-27 11:14:15.987675-07:00,,,,
515,2026-07-27 11:14:16.024551-07:00,,,,
516,2026-07-27 11:14:16.050509-07:00,,,,
517,2026-07-27 11:14:16.087383-07:00,,,,
518,2026-07-27 11:14:16.121314-07:00,,,,
519,2026-07-27 11:14:16.154205-07:00,,,,
520,2026-07-27 11:14:16.188115-07:00,,,,
521,2026-07-27 11:14:16.221047-07:00,,,,
522,2026-07-27 11:14:16.253948-07:00,,,,
523,2026-07-27 11:14:16.288845-07:00,,,,
524,2026-07-27 11:14:16.320791-07:00,,,,
525,2026-07-27 11:14:16.353693-07:00,,,,
526,2026-07-27 11:14:16.386611-07:00,,,,
527,2026-07-27 11:14:16.421523-07:00,,,,
528,2026-07-27 11:14:16.451441-07:00,,,,
529,2026-07-27 11:14:16.489309-07:00,,,,
530,2026-07-27 11:14:16.521244-07:00,,,,
